timestamp	cohort	round	set	test_loss	test_acc	true_pos_rate	false_pos_rate
08:39	cohort2	0	0	0	0	0	0
10:58	cohort2	1	1	0.8369	0.7	0.55	0.15
11:45	cohort2	1	2	0.5042	0.825	0.5	0.15
12:33	cohort2	1	3	0.3971	0.825	0.45	0
12:54	cohort2	1	4	0.3279	0.85	0.4	0
13:21	cohort2	1	5	0.3072	0.9	0.55	0
14:00	cohort2	1	6	0.3348	0.875	0.65	0
14:16	cohort2	1	7	0.2452	0.95	0.5	0
14:29	cohort2	1	8	0.2808	0.925	0.55	0
14:53	cohort2	1	9	0.2543	0.95	0.6	0
15:12	cohort2	1	10	0.319	0.925	0.6	0
07:31	cohort2	2	1	0.229	0.95	0.6	0
07:49	cohort2	2	2	0.2516	0.925	0.6	0
07:58	cohort2	2	3	0.2212	0.925	0.5	0
08:13	cohort2	2	4	0.3014	0.925	0.6	0
08:23	cohort2	2	5	0.2417	0.9	0.55	0
08:42	cohort2	2	6	0.2201	0.9	0.6	0
08:52	cohort2	2	7	0.2618	0.9	0.65	0
09:09	cohort2	2	8	0.3768	0.925	0.7	0
09:26	cohort2	2	9	0.2618	0.9	0.7	0
09:43	cohort2	2	10	0.1731	0.975	0.65	0
09:53	cohort2	3	1	0.2578	0.925	0.55	0
10:10	cohort2	3	2	0.215	0.95	0.7	0
10:17	cohort2	3	3	0.2408	0.925	0.75	0
10:23	cohort2	3	4	0.2869	0.95	0.6	0
10:32	cohort2	3	5	0.2048	0.95	0.65	0
10:48	cohort2	3	6	0.2454	0.925	0.75	0
10:54	cohort2	3	7	0.2693	0.95	0.65	0
11:03	cohort2	3	8	0.2488	0.95	0.65	0
11:14	cohort2	3	9	0.2206	0.95	0.7	0
11:26	cohort2	3	10	0.199	0.95	0.65	0
01:05	cohort2	4	1	0.1013	1	0.65	0
01:13	cohort2	4	2	0.0971	1	0.7	0
01:27	cohort2	4	3	0.1038	1	0.75	0
01:38	cohort2	4	4	0.1024	1	0.8	0
01:57	cohort2	4	5	0.0917	1	0.8	0
02:06	cohort2	4	6	0.0927	1	0.85	0
02:12	cohort2	4	7	0.0933	1	0.85	0
02:23	cohort2	4	8	0.0871	1	0.75	0
02:31	cohort2	4	9	0.0857	1	0.75	0
02:40	cohort2	4	10	0.1213	0.975	0.75	0
13:38	cohort2	5	1	0.0901	1	0.85	0
13:45	cohort2	5	2	0.0862	1	0.8	0
13:53	cohort2	5	3	0.088	1	0.85	0
14:04	cohort2	5	4	0.0879	1	0.85	0
14:11	cohort2	5	5	0.0805	1	0.85	0
14:17	cohort2	5	6	0.0813	1	0.9	0
14:28	cohort2	5	7	0.081	1	0.9	0
14:34	cohort2	5	8	0.0895	1	0.85	0
14:47	cohort2	5	9	0.0798	1	0.85	0
14:54	cohort2	5	10	0.086	1	0.75	0
