timestamp	cohort	round	set	test_loss	test_acc	true_pos_rate	false_pos_rate
16:22	cohort1	0	0	0	0	0	0
18:07	cohort1	1	1	1.3691	0.6182	0.9091	0.2909
18:38	cohort1	1	2	1.2165	0.6455	0.8727	0.3273
19:00	cohort1	1	3	1.1571	0.6909	0.8909	0.3091
19:29	cohort1	1	4	1.086	0.7364	0.9455	0.2545
19:57	cohort1	1	5	0.9743	0.7636	0.9636	0.2364
20:14	cohort1	1	6	1.0489	0.7727	0.9273	0.2727
20:39	cohort1	1	7	1.0193	0.7818	0.9091	0.2909
20:56	cohort1	1	8	1.0527	0.7818	0.9636	0.2364
21:25	cohort1	1	9	1.1626	0.7545	0.9273	0.2727
21:40	cohort1	1	10	1.0533	0.7636	0.9455	0.2545
21:50	cohort1	2	1	1.0111	0.7909	0.9273	0.2727
22:22	cohort1	2	2	0.9462	0.8545	0.9455	0.2545
22:32	cohort1	2	3	0.9548	0.7727	0.9455	0.2545
22:50	cohort1	2	4	0.863	0.8273	0.9273	0.2727
23:17	cohort1	2	5	2.3983	0.3364	0.6182	0.6182
00:38	cohort1	2	6	1.3104	0.6727	0.9273	0.2727
01:17	cohort1	2	7	1.1259	0.7909	0.9455	0.2545
01:36	cohort1	2	8	1.0826	0.7818	0.9273	0.2727
02:13	cohort1	2	9	1.0517	0.7727	0.9091	0.2909
02:40	cohort1	2	10	1.0757	0.7545	0.9091	0.2909
02:50	cohort1	3	1	1.0085	0.8	0.9455	0.2545
03:03	cohort1	3	2	1.0083	0.8091	0.9273	0.2727
03:24	cohort1	3	3	0.865	0.8182	0.9273	0.2727
03:49	cohort1	3	4	1.0828	0.8	0.9455	0.2545
04:07	cohort1	3	5	0.9416	0.8273	0.9091	0.3091
04:34	cohort1	3	6	1.1048	0.7818	0.9273	0.2909
04:55	cohort1	3	7	0.8901	0.8455	0.9455	0.2545
05:24	cohort1	3	8	1.0208	0.8182	0.9455	0.2545
05:47	cohort1	3	9	0.8812	0.8182	0.9636	0.2364
06:18	cohort1	3	10	0.9946	0.8273	0.9455	0.2545
